ID,Name,CertRootType,CertRootValue,CertPublisher
ID_SIGNER_VMDRV,DigiCert EV Code Signing CA (SHA2),TBS,EEC58131DC11CD7F512501B15FDBC6074C603B68CA91F7162D5A042054EDB0CF,Voicemod Sociedad Limitada
ID_SIGNER_INTEL_IQVW,Intel External Basic Policy CA,TBS,53B052BA209C525233293274854B264BC0F68B73,
ID_SIGNER_COMODO_IQVW,COMODO RSA Certification Authority,TBS,7CE102D63C57CB48F80A65D1A5E9B350A7A618482AA5A36775323CA933DDFCB00DEF83796A6340DEC5EBF7596CFD8E5D,
ID_SIGNER_AMDPP,USERTrust RSA Certification Authority,TBS,13BAA039635F1C5292A8C2F36AAE7E1D25C025202E9092F5B0F53F5F752DFA9C71B3D1B8D9A6358FCEE6EC75622FABF9,Advanced Micro Devices Inc.
ID_SIGNER_AGNITUM_2004,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,Agnitum Ltd.
ID_SIGNER_AGNITUM_2009,VeriSign Class 3 Code Signing 2009-2 CA,TBS,4CDC38C800761463749C3CBD94A12F32E49877BF,Agnitum Ltd.
ID_SIGNER_AGNITUM_2010,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,Agnitum Ltd.
ID_SIGNER_AGNITUM_2010_1,VeriSign Class 3 Code Signing 2010 CA,TBS,4678C6E4A8787A8E6ED2BCE8792B122F6C08AFD8,Agnitum Ltd.
ID_SIGNER_PHYMEM,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,"Super Micro Computer, Inc."
ID_SIGNER_PHYMEM_1,Symantec Class 3 SHA256 Code Signing CA,TBS,A08E79C386083D875014C409C13D144E0A24386132980DF11FF59737C8489EB1,"Super Micro Computer, Inc. Taiwan"
ID_SIGNER_PHYMEM_2,Symantec Class 3 SHA256 Code Signing CA,TBS,A08E79C386083D875014C409C13D144E0A24386132980DF11FF59737C8489EB1,"Super Micro Computer, Inc."
ID_SIGNER_NVFLASH,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,NVIDIA Corporation
ID_SIGNER_NVFLASH_2,Symantec Class 3 SHA256 Code Signing CA - G2,TBS,7F25CBD37DCDC0E0D93E0D477C4BC0C54231379E6CAF1023841E1F0D96467A6C,NVIDIA Corporation
ID_SIGNER_NVFLASH_3,Symantec Class 3 SHA256 Code Signing CA,TBS,A08E79C386083D875014C409C13D144E0A24386132980DF11FF59737C8489EB1,NVIDIA Corporation
ID_SIGNER_LV_LOGITECH,VeriSign Class 3 Code Signing 2004 CA,TBS,C7FC1727F5B75A6421A1F95C73BBDB23580C48E5,Logitech Inc
ID_SIGNER_WISEUNLO,DigiCert EV Code Signing CA,TBS,2D54C16A8F8B69CCDEA48D0603C132F547A5CF75,"Beijing Lang Xingda Network Technology Co., Ltd"
ID_SIGNER_WISEUNLO_1,DigiCert EV Code Signing CA (SHA2),TBS,EEC58131DC11CD7F512501B15FDBC6074C603B68CA91F7162D5A042054EDB0CF,"Beijing Lang Xingda Network Technology Co., Ltd"
ID_SIGNER_WISEUNLO_2,VeriSign Class 3 Code Signing 2010 CA,TBS,4843A82ED3B1F2BFBEE9671960E1940C942F688D,Lespeed Technology Ltd.
ID_SIGNER_LV_DIAG,DigiCert SHA2 Assured ID Code Signing CA,TBS,E767799478F64A34B3F53FF3BB9057FE1768F4AB178041B0DCC0FF1E210CBA65,Lenovo
ID_SIGNER_LV_DIAG_2,DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1,TBS,65B1D4076A89AE273F57E6EEEDECB3EAE129B4168F76FA7671914CDF461D542255C59D9B85B916AE0CA6FC0FCF7A8E64,Lenovo
ID_SIGNER_IOBITUNLOCKER_1,DigiCert EV Code Signing CA,TBS,2D54C16A8F8B69CCDEA48D0603C132F547A5CF75,"IObit CO., LTD"
